u,i,ts,idx,label
0,4,0,0,0
0,6,0,1,0
0,7,0,2,0
0,8,0,3,0
0,9,0,4,0
0,10,0,5,0
0,11,0,6,0
0,14,0,7,0
0,15,0,8,0
0,16,0,9,0
0,18,0,10,0
0,20,0,11,0
0,21,0,12,0
0,24,0,13,0
0,25,0,14,0
0,26,0,15,0
0,27,0,16,0
0,30,0,17,0
0,31,0,18,0
0,34,0,19,0
0,35,0,20,0
0,36,0,21,0
0,37,0,22,0
0,40,0,23,0
0,42,0,24,0
0,43,0,25,0
0,47,0,26,0
0,48,0,27,0
0,50,0,28,0
0,51,0,29,0
0,55,0,30,0
0,57,0,31,0
0,59,0,32,0
0,60,0,33,0
0,93,0,34,0
0,101,0,35,0
0,102,0,36,0
0,104,0,37,0
0,110,0,38,0
0,111,0,39,0
4,3,0,40,0
4,5,0,41,0
4,8,0,42,0
4,10,0,43,0
4,11,0,44,0
4,16,0,45,0
4,18,0,46,0
4,20,0,47,0
4,21,0,48,0
4,24,0,49,0
4,25,0,50,0
4,26,0,51,0
4,29,0,52,0
4,30,0,53,0
4,31,0,54,0
4,34,0,55,0
4,36,0,56,0
4,37,0,57,0
4,39,0,58,0
4,40,0,59,0
4,41,0,60,0
4,42,0,61,0
4,46,0,62,0
4,47,0,63,0
4,49,0,64,0
4,51,0,65,0
4,53,0,66,0
4,56,0,67,0
4,59,0,68,0
4,64,0,69,0
4,66,0,70,0
4,73,0,71,0
4,84,0,72,0
4,98,0,73,0
4,108,0,74,0
4,113,0,75,0
4,116,0,76,0
4,19,0,77,0
4,22,0,78,0
4,23,0,79,0
4,52,0,80,0
4,77,0,81,0
4,99,0,82,0
4,109,0,83,0
4,45,0,84,0
4,118,0,85,0
6,9,0,86,0
6,10,0,87,0
6,11,0,88,0
6,14,0,89,0
6,15,0,90,0
6,17,0,91,0
6,20,0,92,0
6,24,0,93,0
6,26,0,94,0
6,31,0,95,0
6,32,0,96,0
6,35,0,97,0
6,36,0,98,0
6,41,0,99,0
6,44,0,100,0
6,46,0,101,0
6,47,0,102,0
6,49,0,103,0
6,50,0,104,0
6,55,0,105,0
6,56,0,106,0
6,60,0,107,0
6,88,0,108,0
6,97,0,109,0
6,116,0,110,0
6,22,0,111,0
6,23,0,112,0
6,38,0,113,0
7,3,0,114,0
7,5,0,115,0
7,8,0,116,0
7,10,0,117,0
7,14,0,118,0
7,15,0,119,0
7,16,0,120,0
7,20,0,121,0
7,24,0,122,0
7,26,0,123,0
7,27,0,124,0
7,29,0,125,0
7,30,0,126,0
7,31,0,127,0
7,32,0,128,0
7,33,0,129,0
7,39,0,130,0
7,40,0,131,0
7,42,0,132,0
7,43,0,133,0
7,46,0,134,0
7,48,0,135,0
7,49,0,136,0
7,50,0,137,0
7,53,0,138,0
7,55,0,139,0
7,56,0,140,0
7,62,0,141,0
7,67,0,142,0
7,70,0,143,0
7,76,0,144,0
7,79,0,145,0
7,92,0,146,0
7,98,0,147,0
7,101,0,148,0
7,113,0,149,0
7,115,0,150,0
7,12,0,151,0
7,19,0,152,0
7,22,0,153,0
7,103,0,154,0
7,38,0,155,0
7,45,0,156,0
7,1,0,157,0
8,2,0,158,0
8,9,0,159,0
8,13,0,160,0
8,14,0,161,0
8,15,0,162,0
8,16,0,163,0
8,17,0,164,0
8,21,0,165,0
8,25,0,166,0
8,26,0,167,0
8,27,0,168,0
8,28,0,169,0
8,29,0,170,0
8,30,0,171,0
8,31,0,172,0
8,34,0,173,0
8,35,0,174,0
8,37,0,175,0
8,39,0,176,0
8,40,0,177,0
8,41,0,178,0
8,46,0,179,0
8,48,0,180,0
8,49,0,181,0
8,50,0,182,0
8,51,0,183,0
8,53,0,184,0
8,55,0,185,0
8,56,0,186,0
8,86,0,187,0
8,87,0,188,0
8,94,0,189,0
8,98,0,190,0
8,101,0,191,0
8,105,0,192,0
8,19,0,193,0
8,52,0,194,0
8,69,0,195,0
8,90,0,196,0
8,1,0,197,0
9,3,0,198,0
9,5,0,199,0
9,10,0,200,0
9,13,0,201,0
9,14,0,202,0
9,17,0,203,0
9,20,0,204,0
9,24,0,205,0
9,26,0,206,0
9,28,0,207,0
9,29,0,208,0
9,31,0,209,0
9,32,0,210,0
9,33,0,211,0
9,34,0,212,0
9,35,0,213,0
9,37,0,214,0
9,40,0,215,0
9,42,0,216,0
9,43,0,217,0
9,44,0,218,0
9,46,0,219,0
9,47,0,220,0
9,57,0,221,0
9,59,0,222,0
9,60,0,223,0
9,72,0,224,0
9,75,0,225,0
9,76,0,226,0
9,80,0,227,0
9,94,0,228,0
9,19,0,229,0
9,52,0,230,0
9,68,0,231,0
9,82,0,232,0
9,38,0,233,0
9,1,0,234,0
10,3,0,235,0
10,5,0,236,0
10,11,0,237,0
10,13,0,238,0
10,14,0,239,0
10,18,0,240,0
10,20,0,241,0
10,24,0,242,0
10,26,0,243,0
10,27,0,244,0
10,29,0,245,0
10,30,0,246,0
10,33,0,247,0
10,35,0,248,0
10,36,0,249,0
10,44,0,250,0
10,46,0,251,0
10,47,0,252,0
10,48,0,253,0
10,49,0,254,0
10,53,0,255,0
10,55,0,256,0
10,56,0,257,0
10,57,0,258,0
10,59,0,259,0
10,65,0,260,0
10,70,0,261,0
10,72,0,262,0
10,76,0,263,0
10,83,0,264,0
10,84,0,265,0
10,88,0,266,0
10,98,0,267,0
10,115,0,268,0
10,116,0,269,0
10,12,0,270,0
10,22,0,271,0
10,54,0,272,0
10,68,0,273,0
10,77,0,274,0
10,99,0,275,0
10,58,0,276,0
11,2,0,277,0
11,5,0,278,0
11,14,0,279,0
11,16,0,280,0
11,20,0,281,0
11,21,0,282,0
11,24,0,283,0
11,26,0,284,0
11,27,0,285,0
11,28,0,286,0
11,31,0,287,0
11,33,0,288,0
11,34,0,289,0
11,35,0,290,0
11,36,0,291,0
11,37,0,292,0
11,39,0,293,0
11,40,0,294,0
11,41,0,295,0
11,43,0,296,0
11,46,0,297,0
11,47,0,298,0
11,48,0,299,0
